"id" "danceability" "energy" "key" "loudness" "mode" "speechiness" "acousticness" "instrumentalness" "liveness" "valence" "tempo" "duration_ms" "time_signature" "uri" "analysis_url" "name"
"31" "6BGxbBw5J314z6BDxbEanm" 0.265 0.66 7 -7.711 1 0.0422 0.401 0.0108 0.102 0.18 120.275 607283 4 "spotify:track:6BGxbBw5J314z6BDxbEanm" "https://api.spotify.com/v1/audio-analysis/6BGxbBw5J314z6BDxbEanm" "The Globalist"
"32" "1MaxCaHwLDYS0uOQLjUry0" 0.149 0.229 7 -14.308 1 0.0355 0.944 0.0588 0.115 0.0662 104.668 169818 5 "spotify:track:1MaxCaHwLDYS0uOQLjUry0" "https://api.spotify.com/v1/audio-analysis/1MaxCaHwLDYS0uOQLjUry0" "Drones"
"33" "3yya5qQNJZUhwt1Yn46p1L" 0.249 0.881 9 -7.104 0 0.0469 0.000743 0.115 0.974 0.256 158.607 316413 4 "spotify:track:3yya5qQNJZUhwt1Yn46p1L" "https://api.spotify.com/v1/audio-analysis/3yya5qQNJZUhwt1Yn46p1L" "Supremacy - Live At Rome Olympic Stadium"
"34" "6AHgA7QTtbrXzm9Ftiq9Rg" 0.552 0.929 0 -5.297 1 0.0537 0.0085 7.59e-05 0.986 0.532 105.031 192373 4 "spotify:track:6AHgA7QTtbrXzm9Ftiq9Rg" "https://api.spotify.com/v1/audio-analysis/6AHgA7QTtbrXzm9Ftiq9Rg" "Panic Station - Live At Rome Olympic Stadium"
"35" "2h9iS5iELVA2jKtaY9DFgZ" 0.456 0.941 9 -6.627 0 0.0638 0.0039 0.0463 0.663 0.162 135.051 332227 4 "spotify:track:2h9iS5iELVA2jKtaY9DFgZ" "https://api.spotify.com/v1/audio-analysis/2h9iS5iELVA2jKtaY9DFgZ" "Resistance - Live At Rome Olympic Stadium"
"36" "57IRQzhQiU3RHYFxofASv1" 0.282 0.902 11 -6.624 0 0.067 6.5e-06 0.592 0.993 0.151 93.03 306147 4 "spotify:track:57IRQzhQiU3RHYFxofASv1" "https://api.spotify.com/v1/audio-analysis/57IRQzhQiU3RHYFxofASv1" "Hysteria - Live At Rome Olympic Stadium"
"37" "6wTia4XcRsCSyGCOKV8jEL" 0.449 0.906 11 -6.797 1 0.05 0.0163 0.215 0.78 0.319 170.019 261160 5 "spotify:track:6wTia4XcRsCSyGCOKV8jEL" "https://api.spotify.com/v1/audio-analysis/6wTia4XcRsCSyGCOKV8jEL" "Animals - Live At Rome Olympic Stadium"
"38" "1c9IiRvi0Ehis1hDhkfohf" 0.272 0.935 9 -6.215 1 0.09 0.000317 0.12 0.981 0.131 138.661 499373 4 "spotify:track:1c9IiRvi0Ehis1hDhkfohf" "https://api.spotify.com/v1/audio-analysis/1c9IiRvi0Ehis1hDhkfohf" "Knights Of Cydonia - Live At Rome Olympic Stadium"
"39" "1nj4l24EQcI1AuhuOXhi6R" 0.191 0.552 0 -8.795 1 0.0296 0.193 0.000989 0.758 0.0876 92.08 354267 4 "spotify:track:1nj4l24EQcI1AuhuOXhi6R" "https://api.spotify.com/v1/audio-analysis/1nj4l24EQcI1AuhuOXhi6R" "Explorers - Live At Rome Olympic Stadium"
"40" "6S42sxyoFYMCOe41FJoW76" 0.294 0.848 3 -5.907 1 0.0517 0.00507 0.00047 0.976 0.0648 134.974 232147 4 "spotify:track:6S42sxyoFYMCOe41FJoW76" "https://api.spotify.com/v1/audio-analysis/6S42sxyoFYMCOe41FJoW76" "Follow Me - Live At Rome Olympic Stadium"
"41" "6V32iK1yvpQPnRa5KuibUv" 0.474 0.605 9 -8.343 1 0.0385 0.0839 0.0957 0.752 0.205 91.987 277827 4 "spotify:track:6V32iK1yvpQPnRa5KuibUv" "https://api.spotify.com/v1/audio-analysis/6V32iK1yvpQPnRa5KuibUv" "Madness - Live At Rome Olympic Stadium"
"42" "4m3D498vkAiWB7ajO1RAKp" 0.476 0.899 0 -4.833 1 0.0666 0.0298 8.98e-05 0.94 0.228 147.938 258440 4 "spotify:track:4m3D498vkAiWB7ajO1RAKp" "https://api.spotify.com/v1/audio-analysis/4m3D498vkAiWB7ajO1RAKp" "Guiding Light - Live At Rome Olympic Stadium"
"43" "2nvFPUDTbJpefU0iqSLWq7" 0.478 0.975 4 -5.128 0 0.0602 0.0249 0.233 0.991 0.22 120.033 245213 4 "spotify:track:2nvFPUDTbJpefU0iqSLWq7" "https://api.spotify.com/v1/audio-analysis/2nvFPUDTbJpefU0iqSLWq7" "Supermassive Black Hole - Live At Rome Olympic Stadium"
"44" "3fM1dfdFwNoCuenLcovLXB" 0.517 0.931 0 -5.393 1 0.0527 2.05e-05 0.0692 0.929 0.219 128.032 335000 4 "spotify:track:3fM1dfdFwNoCuenLcovLXB" "https://api.spotify.com/v1/audio-analysis/3fM1dfdFwNoCuenLcovLXB" "Uprising - Live At Rome Olympic Stadium"
"45" "1vYKGFkCti8OqWvPSQiof1" 0.493 0.959 10 -5.39 1 0.0553 0.000116 0.0223 0.974 0.174 121.597 267853 4 "spotify:track:1vYKGFkCti8OqWvPSQiof1" "https://api.spotify.com/v1/audio-analysis/1vYKGFkCti8OqWvPSQiof1" "Starlight - Live At Rome Olympic Stadium"
"46" "40pPI2TbaYSZlKfV44HRjn" 0.256 0.679 9 -4.495 0 0.0387 0.00451 0.0409 0.172 0.325 158.718 295373 4 "spotify:track:40pPI2TbaYSZlKfV44HRjn" "https://api.spotify.com/v1/audio-analysis/40pPI2TbaYSZlKfV44HRjn" "Supremacy"
"47" "0c4IEciLCDdXEhhKxj4ThA" 0.502 0.417 10 -7.665 1 0.0718 0.127 0.00419 0.106 0.218 180.301 281040 4 "spotify:track:0c4IEciLCDdXEhhKxj4ThA" "https://api.spotify.com/v1/audio-analysis/0c4IEciLCDdXEhhKxj4ThA" "Madness"
"48" "1tjHKKI0r82IB5KL29whHs" 0.671 0.766 2 -3.1 1 0.0378 0.00224 0.000154 0.159 0.726 104.99 184200 4 "spotify:track:1tjHKKI0r82IB5KL29whHs" "https://api.spotify.com/v1/audio-analysis/1tjHKKI0r82IB5KL29whHs" "Panic Station"
"49" "3V78QkKzy5bIy0goZj3L8u" 0.0807 0.382 10 -11.073 1 0.0379 0.668 0.945 0.334 0.0999 82.178 57920 1 "spotify:track:3V78QkKzy5bIy0goZj3L8u" "https://api.spotify.com/v1/audio-analysis/3V78QkKzy5bIy0goZj3L8u" "Prelude"
"50" "2IFqUmfW8oQoKn6ToxKsMs" 0.557 0.826 10 -4.545 0 0.0394 0.000692 0.188 0.0914 0.632 164.01 257467 4 "spotify:track:2IFqUmfW8oQoKn6ToxKsMs" "https://api.spotify.com/v1/audio-analysis/2IFqUmfW8oQoKn6ToxKsMs" "Survival"
"51" "6r9tjMWLv8fNdZKKTnqCEr" 0.279 0.817 3 -5.801 1 0.0586 0.00126 2.01e-05 0.141 0.0842 135.258 230920 4 "spotify:track:6r9tjMWLv8fNdZKKTnqCEr" "https://api.spotify.com/v1/audio-analysis/6r9tjMWLv8fNdZKKTnqCEr" "Follow Me"
"52" "2raJLzvNRvipP8cJuchk6U" 0.446 0.804 3 -6.906 0 0.0307 0.00571 0.796 0.696 0.615 169.987 262813 5 "spotify:track:2raJLzvNRvipP8cJuchk6U" "https://api.spotify.com/v1/audio-analysis/2raJLzvNRvipP8cJuchk6U" "Animals"
"53" "0rlB9MM5FKeRnvJiWOVRYY" 0.186 0.525 0 -7.587 1 0.0292 0.241 5.29e-05 0.108 0.0523 89.789 346507 4 "spotify:track:0rlB9MM5FKeRnvJiWOVRYY" "https://api.spotify.com/v1/audio-analysis/0rlB9MM5FKeRnvJiWOVRYY" "Explorers"
"54" "630CQp2prewTfH1UAvMgCA" 0.565 0.915 8 -4.749 1 0.0466 0.0109 0.000939 0.0954 0.329 116.028 279907 4 "spotify:track:630CQp2prewTfH1UAvMgCA" "https://api.spotify.com/v1/audio-analysis/630CQp2prewTfH1UAvMgCA" "Big Freeze"
